Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise	KmerGroup	MotifId	KG_score	Strand
6:31797849:-	 2511.0	  233.5	   10.8	    0.6	 999.00	 999.00	 999.00	   0.64	   0.17	--------	-1	0.00	*
6:31797831:+	 1735.0	  158.4	   10.9	    0.6	 999.00	 999.00	 999.00	   0.50	   0.32	--------	-1	0.00	*
14:102547714:+	 1366.8	  292.6	    4.7	    0.5	 161.42	 165.20	 999.00	   0.16	   0.00	--------	-1	0.00	*
7:26231783:+	 1165.8	  312.5	    3.7	    9.8	 112.02	 115.18	 999.00	   0.36	   0.03	--------	-1	0.00	*
4:6644054:-	  957.5	  244.4	    3.9	    2.5	  96.62	  99.49	 999.00	   0.06	   0.00	--------	-1	0.00	*
1:59247671:+	  948.0	   67.2	   14.1	    0.8	 194.73	 198.74	 999.00	   0.67	   0.00	--------	-1	0.00	*
4:6644173:+	  813.7	  200.7	    4.1	    2.5	  84.90	  87.55	 999.00	  -0.04	   0.00	--------	-1	0.00	*
14:102547449:-	  809.5	  104.0	    7.8	    0.5	 132.40	 135.80	 999.00	   0.60	   0.00	--------	-1	0.00	*
10:79800416:+	  793.0	  169.4	    4.7	    0.5	  93.50	  96.33	 999.00	   0.75	   0.00	--------	-1	0.00	*
2:198351377:-	  782.0	  112.0	    7.0	    4.8	 120.65	 123.95	 999.00	   0.41	   0.63	--------	-1	0.00	*
2:232319685:+	  719.0	  142.9	    5.0	    0.4	  89.87	  92.62	 999.00	   0.50	   0.22	--------	-1	0.00	*
1:59247657:-	  708.6	   63.0	   11.2	    0.8	 134.55	 138.08	 999.00	   0.72	   0.00	--------	-1	0.00	*
19:8553954:+	  677.0	   81.9	    8.3	    1.1	 113.67	 116.90	 999.00	   0.63	   0.28	--------	-1	0.00	*
12:111157743:-	  673.0	  252.0	    2.7	    0.7	  42.80	  44.51	 999.00	   0.46	   0.00	--------	-1	0.00	*
6:116598519:+	  668.2	   18.0	   37.1	   13.6	 166.50	 170.38	 999.00	   0.24	   0.00	--------	-1	0.00	*
10:79800417:-	  662.0	  138.6	    4.8	    0.5	  79.34	  81.93	 999.00	   0.74	   0.00	--------	-1	0.00	*
10:70743788:+	  656.0	   45.3	   14.5	    2.6	 135.18	 138.76	 999.00	   0.57	   0.00	--------	-1	0.00	*
11:61564484:+	  650.4	   46.9	   13.9	    3.9	 133.08	 136.53	 999.00	   0.33	   0.00	--------	-1	0.00	*
19:8553944:-	  643.0	   72.1	    8.9	    1.1	 111.26	 114.38	 999.00	   0.60	   0.51	--------	-1	0.00	*
14:102547815:-	  633.5	  285.3	    2.2	    0.5	  29.31	  30.60	 999.00	   0.34	   0.00	--------	-1	0.00	*
1:234742580:+	  631.0	   22.9	   27.6	    3.8	 150.98	 154.68	 999.00	  -0.10	   0.78	--------	-1	0.00	*
1:116947338:-	  627.0	  168.0	    3.7	    0.8	  60.44	  62.59	 999.00	   0.50	   0.57	--------	-1	0.00	*
15:102182272:-	  600.0	   56.0	   10.7	   12.6	 112.41	 115.59	 999.00	   0.20	   0.70	--------	-1	0.00	*
8:80676667:-	  580.7	   37.9	   15.3	   24.2	 122.08	 125.45	 999.00	   0.47	   0.27	--------	-1	0.00	*
16:85711436:-	  572.0	  140.0	    4.1	   22.7	  60.22	  62.36	 999.00	   0.14	   0.60	--------	-1	0.00	*
4:83275047:-	  565.0	   42.7	   13.2	    0.3	 113.52	 116.73	 999.00	   0.47	   0.00	--------	-1	0.00	*
1:28608853:+	  559.0	   56.0	   10.0	   16.4	 101.93	 104.88	 999.00	   0.28	   0.83	--------	-1	0.00	*
7:26231675:-	  558.4	   99.7	    5.6	    9.8	  75.32	  77.82	 999.00	   0.22	   0.02	--------	-1	0.00	*
6:38643773:+	  545.0	  121.2	    4.5	    0.6	  62.07	  64.26	 999.00	   0.71	   0.00	--------	-1	0.00	*
2:232319693:-	  539.7	  115.8	    4.7	    0.4	  63.62	  65.84	 999.00	   0.50	   0.00	--------	-1	0.00	*
12:98995366:-	  534.0	  111.6	    4.8	    0.7	  64.10	  66.36	 999.00	   0.64	   0.00	--------	-1	0.00	*
19:14626387:-	  533.0	  112.0	    4.8	    5.6	  63.89	  66.14	 999.00	   0.05	   0.45	--------	-1	0.00	*
10:70743765:-	  529.0	   51.4	   10.3	    2.6	  97.41	 100.31	 999.00	   0.62	   0.15	--------	-1	0.00	*
5:137891473:+	  517.8	   92.5	    5.6	    2.4	  69.63	  72.01	 999.00	   0.23	   0.00	--------	-1	0.00	*
8:37557290:+	  515.0	   92.1	    5.6	    1.0	  68.96	  71.32	 999.00	   0.29	   0.00	--------	-1	0.00	*
9:127998766:+	  513.0	   58.1	    8.8	    4.6	  88.25	  90.94	 999.00	   0.65	   0.00	--------	-1	0.00	*
17:1247913:+	  506.4	  134.1	    3.8	    3.4	  49.25	  51.14	 999.00	   0.81	   0.28	--------	-1	0.00	*
1:59247280:-	  504.4	    7.8	   64.8	    0.8	 133.89	 137.37	 999.00	   0.30	   0.00	--------	-1	0.00	*
5:179041693:+	  501.0	   64.7	    7.7	   34.7	  81.34	  83.97	 999.00	   0.41	   0.55	--------	-1	0.00	*
7:56130928:-	  495.0	   73.2	    6.8	    0.5	  74.53	  77.01	 999.00	   0.53	   0.68	--------	-1	0.00	*
1:150549533:+	  490.0	   48.7	   10.1	   84.7	  89.38	  92.12	 199.19	   0.08	   0.00	--------	-1	0.00	*
11:66113075:-	  489.0	   70.0	    7.0	   10.9	  75.42	  77.93	 999.00	   0.21	   0.76	--------	-1	0.00	*
