Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise	KmerGroup	MotifId	KG_score	Strand
1:145510363	   15.0	    0.0	 9999.9	    7.2	   2.00	   4.52	   2.14	  -0.66	   0.00	--------	-1	0.00	*
1:9986624	    9.4	    0.0	 9999.9	    3.9	   2.00	   3.01	   2.14	  -1.07	   0.00	--------	-1	0.00	*
17:57279508	   18.8	    5.5	    3.5	    1.6	   2.00	   2.14	  14.04	  -0.63	   0.00	--------	-1	0.00	*
8:18392778	   21.8	    0.4	   53.2	   12.2	   2.00	   5.54	   2.13	  -0.94	   0.31	--------	-1	0.00	*
15:59955377	   65.6	   39.0	    1.7	   36.9	   1.99	   2.13	   4.99	  -1.02	   0.00	--------	-1	0.00	*
1:145513452	    9.0	    0.0	 9999.9	    3.3	   1.99	   2.71	   2.13	  -0.69	   0.00	--------	-1	0.00	*
X:135299254	   41.0	    0.0	 9999.9	   27.0	   1.99	  12.34	   2.13	  -0.49	   0.00	--------	-1	0.00	*
1:9428147	    8.0	    0.0	 9999.9	    2.8	   1.99	   2.41	   2.13	  -0.53	   0.00	--------	-1	0.00	*
10:54054846	   16.0	    0.0	 9999.9	    7.9	   1.99	   4.82	   2.13	  -0.80	   0.68	--------	-1	0.00	*
2:176790890	    9.3	    0.0	 9999.9	    3.9	   1.99	   3.01	   2.13	  -0.59	   0.00	--------	-1	0.00	*
7:141353646	   19.6	    0.0	 9999.9	   10.8	   1.99	   6.02	   2.13	  -0.57	   0.46	--------	-1	0.00	*
13:74266660	   21.3	    0.0	 9999.9	   12.2	   1.99	   6.62	   2.12	  -0.71	   0.00	--------	-1	0.00	*
1:6281946	  140.0	    0.0	 9999.9	  112.9	   1.99	  42.14	   2.12	  -0.50	   0.00	--------	-1	0.00	*
12:112599254	   41.0	   20.7	    2.0	    2.7	   1.98	   2.12	  33.18	  -0.47	   0.52	--------	-1	0.00	*
11:119226182	   40.9	   20.0	    2.0	    0.9	   1.98	   2.12	  51.58	  -0.64	   0.34	--------	-1	0.00	*
2:113496304	   40.9	   20.7	    2.0	    3.4	   1.98	   2.12	  29.37	  -0.97	   0.00	--------	-1	0.00	*
3:172115742	   40.7	   20.7	    2.0	    2.3	   1.98	   2.12	  35.76	  -0.61	   0.24	--------	-1	0.00	*
14:100745243	   40.6	   20.7	    2.0	    0.5	   1.98	   2.12	  62.39	  -0.74	   0.00	--------	-1	0.00	*
15:50569799	   40.4	   20.7	    1.9	    0.5	   1.98	   2.12	  63.45	  -0.47	   0.39	--------	-1	0.00	*
7:138518646	   29.0	    0.0	 9999.9	   17.6	   1.98	   8.73	   2.12	  -0.32	   0.70	--------	-1	0.00	*
2:72405376	   21.4	    0.0	 9999.9	   12.3	   1.98	   6.62	   2.12	  -0.67	   0.30	--------	-1	0.00	*
14:59837472	   33.2	   15.6	    2.1	    0.5	   1.98	   2.12	  49.18	  -0.56	   0.34	--------	-1	0.00	*
5:43446288	   11.0	    0.0	 9999.9	    4.6	   1.98	   3.31	   2.11	  -1.62	   0.00	--------	-1	0.00	*
4:52780196	   61.1	   36.7	    1.7	   11.8	   1.98	   2.11	  24.14	  -0.56	   0.58	--------	-1	0.00	*
5:917582	  142.9	  103.7	    1.4	    0.5	   1.98	   2.11	 294.37	  -0.56	   0.00	--------	-1	0.00	*
11:12964491	  142.1	  103.7	    1.4	   37.3	   1.98	   2.11	  39.08	  -0.69	   0.00	--------	-1	0.00	*
2:29024098	   58.2	    0.0	 9999.9	   42.0	   1.98	  17.76	   2.11	  -0.57	   0.00	--------	-1	0.00	*
18:13646481	   11.0	    0.0	 9999.9	    4.6	   1.97	   3.31	   2.11	  -0.53	   0.00	--------	-1	0.00	*
1:87812585	    9.5	    0.0	 9999.9	    4.0	   1.97	   3.01	   2.11	  -0.58	   0.00	--------	-1	0.00	*
19:1087590	   59.5	    0.0	 9999.9	   42.9	   1.97	  18.06	   2.11	  -0.57	   0.00	--------	-1	0.00	*
1:2460239	    7.0	    0.0	 9999.9	    0.8	   1.97	   2.11	   4.79	  -1.05	   0.00	--------	-1	0.00	*
1:7904019	    7.0	    0.0	 9999.9	    1.6	   1.97	   2.11	   2.88	  -3.03	   0.00	--------	-1	0.00	*
1:27321051	    7.0	    0.0	 9999.9	    0.8	   1.97	   2.11	   4.79	  -1.80	   0.00	--------	-1	0.00	*
1:84670269	    7.0	    0.0	 9999.9	    0.8	   1.97	   2.11	   4.79	  -1.31	   0.00	--------	-1	0.00	*
1:92712097	    7.0	    0.0	 9999.9	    0.8	   1.97	   2.11	   4.79	  -3.07	   0.00	--------	-1	0.00	*
1:99774206	    7.0	    0.0	 9999.9	    2.1	   1.97	   2.11	   2.22	  -0.61	   0.00	--------	-1	0.00	*
1:113063585	    7.0	    0.0	 9999.9	    1.8	   1.97	   2.11	   2.65	  -0.76	   0.00	--------	-1	0.00	*
1:159752273	    7.0	    0.0	 9999.9	    0.8	   1.97	   2.11	   4.79	  -0.80	   0.00	--------	-1	0.00	*
1:160342048	    7.0	    0.0	 9999.9	    0.8	   1.97	   2.11	   4.79	  -1.11	   0.00	--------	-1	0.00	*
1:184596326	    7.0	    0.0	 9999.9	    1.6	   1.97	   2.11	   2.81	  -0.71	   0.00	--------	-1	0.00	*
1:200883082	    7.0	    0.0	 9999.9	    0.8	   1.97	   2.11	   4.79	  -1.74	   0.00	--------	-1	0.00	*
1:204987823	    7.0	    0.0	 9999.9	    0.8	   1.97	   2.11	   4.79	  -0.88	   0.00	--------	-1	0.00	*
1:226074118	    7.0	    0.0	 9999.9	    0.8	   1.97	   2.11	   4.79	  -1.20	   0.00	--------	-1	0.00	*
10:15557166	    7.0	    0.0	 9999.9	    0.5	   1.97	   2.11	   5.88	  -0.24	   0.00	--------	-1	0.00	*
10:22045488	    7.0	    0.0	 9999.9	    0.5	   1.97	   2.11	   5.88	  -0.69	   0.00	--------	-1	0.00	*
10:91163688	    7.0	    0.0	 9999.9	    0.5	   1.97	   2.11	   5.88	  -1.82	   0.00	--------	-1	0.00	*
10:93222539	    7.0	    0.0	 9999.9	    0.5	   1.97	   2.11	   5.88	  -0.50	   0.00	--------	-1	0.00	*
10:105351227	    7.0	    0.0	 9999.9	    0.5	   1.97	   2.11	   5.88	  -0.84	   0.00	--------	-1	0.00	*
10:118892825	    7.0	    0.0	 9999.9	    0.9	   1.97	   2.11	   4.28	  -1.01	   0.00	--------	-1	0.00	*
11:3109328	    7.0	    0.0	 9999.9	    0.5	   1.97	   2.11	   5.77	  -0.42	   0.00	--------	-1	0.00	*
11:6470047	    7.0	    0.0	 9999.9	    0.5	   1.97	   2.11	   5.77	  -0.97	   0.00	--------	-1	0.00	*
11:45670477	    7.0	    0.0	 9999.9	    0.5	   1.97	   2.11	   5.77	  -1.98	   0.00	--------	-1	0.00	*
11:63766100	    7.0	    0.0	 9999.9	    0.5	   1.97	   2.11	   5.77	  -0.85	   0.00	--------	-1	0.00	*
11:65121397	    7.0	    0.0	 9999.9	    0.5	   1.97	   2.11	   5.77	  -0.23	   0.00	--------	-1	0.00	*
11:76075447	    7.0	    0.0	 9999.9	    0.5	   1.97	   2.11	   5.77	  -1.48	   0.00	--------	-1	0.00	*
11:77329640	    7.0	    0.0	 9999.9	    0.5	   1.97	   2.11	   5.77	  -1.60	   0.00	--------	-1	0.00	*
11:111656757	    7.0	    0.0	 9999.9	    1.3	   1.97	   2.11	   3.39	  -1.45	   0.00	--------	-1	0.00	*
12:72186002	    7.0	    0.0	 9999.9	    0.7	   1.97	   2.11	   4.99	  -0.71	   0.00	--------	-1	0.00	*
12:89742733	    7.0	    0.0	 9999.9	    0.7	   1.97	   2.11	   4.99	  -0.62	   0.00	--------	-1	0.00	*
12:133295407	    7.0	    0.0	 9999.9	    1.5	   1.97	   2.11	   3.09	  -0.95	   0.00	--------	-1	0.00	*
13:33082703	    7.0	    0.0	 9999.9	    0.6	   1.97	   2.11	   5.27	  -1.55	   0.00	--------	-1	0.00	*
14:20836545	    7.0	    0.0	 9999.9	    0.5	   1.97	   2.11	   6.05	  -2.71	   0.00	--------	-1	0.00	*
14:94568957	    7.0	    0.0	 9999.9	    0.5	   1.97	   2.11	   6.05	  -1.80	   0.00	--------	-1	0.00	*
14:105057257	    7.0	    0.0	 9999.9	    1.3	   1.97	   2.11	   3.44	  -0.77	   0.73	--------	-1	0.00	*
14:105617209	    7.0	    0.0	 9999.9	    0.5	   1.97	   2.11	   6.05	  -0.80	   0.00	--------	-1	0.00	*
15:41679593	    7.0	    0.0	 9999.9	    0.5	   1.97	   2.11	   6.22	  -2.29	   0.00	--------	-1	0.00	*
15:75645128	    7.0	    0.0	 9999.9	    0.5	   1.97	   2.11	   6.22	  -1.19	   0.00	--------	-1	0.00	*
15:76020016	    7.0	    0.0	 9999.9	    0.5	   1.97	   2.11	   6.22	  -1.06	   0.00	--------	-1	0.00	*
15:80191251	    7.0	    0.0	 9999.9	    0.5	   1.97	   2.11	   6.22	  -1.02	   0.00	--------	-1	0.00	*
16:58699976	    7.0	    0.0	 9999.9	    0.7	   1.97	   2.11	   5.12	  -0.50	   0.00	--------	-1	0.00	*
16:74946025	    7.0	    0.0	 9999.9	    0.7	   1.97	   2.11	   5.12	  -2.43	   0.00	--------	-1	0.00	*
