-56	0	0
-55	0	0
-54	0	0
-53	0	0
-52	1	0
-51	0	0
-50	0	0
-49	0	0
-48	1	0
-47	1	0
-46	2	0
-45	0	0
-44	2	0
-43	4	0
-42	2	0
-41	2	0
-40	3	0
-39	5	0
-38	2	0
-37	2	0
-36	4	0
-35	3	0
-34	3	0
-33	3	0
-32	2	0
-31	1	0
-30	2	0
-29	1	0
-28	3	0
-27	1	0
-26	4	0
-25	3	0
-24	4	0
-23	9	0
-22	6	0
-21	6	0
-20	6	0
-19	6	0
-18	13	0
-17	9	0
-16	8	0
-15	12	0
-14	12	0
-13	12	0
-12	11	0
-11	12	0
-10	14	0
-9	9	0
-8	14	0
-7	16	0
-6	12	0
-5	0	0
-4	19	0
-3	0	0
-2	73	0
-1	0	0
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	4	0
7	10	0
8	7	0
9	13	0
10	4	0
11	15	0
12	15	0
13	9	0
14	11	0
15	9	0
16	16	0
17	15	0
18	11	0
19	12	0
20	7	0
21	9	0
22	10	0
23	8	0
24	6	0
25	12	0
26	7	0
27	6	0
28	6	0
29	7	0
30	6	0
31	3	0
32	2	0
33	1	0
34	2	0
35	1	0
36	2	0
37	1	0
38	2	0
39	3	0
40	4	0
41	4	0
42	4	0
43	1	0
44	2	0
45	1	0
46	3	0
47	0	0
48	0	0
49	0	0
50	0	0
51	0	0
52	0	0
53	0	0
54	1	0
55	0	0
56	0	0
