Position	IP	Control	Fold	Expectd	Q_-lg10	P_-lg10	P_poiss	IPvsEMP	Noise	KmerGroup	MotifId	KG_score	Strand
10:74035139	 1563.5	  368.6	    4.2	    0.5	 170.85	 174.14	 999.00	  -0.26	   0.00	--------	-1	0.00	*
4:6643968	 1553.0	  658.2	    2.4	    2.5	  80.15	  82.24	 999.00	  -0.36	   0.00	--------	-1	0.00	*
10:74035620	 1338.5	   87.7	   15.3	    0.5	 283.36	 287.41	 999.00	  -0.30	   0.00	--------	-1	0.00	*
8:37557279	  968.0	  290.3	    3.3	    1.1	  82.66	  84.80	 999.00	  -0.28	   0.00	--------	-1	0.00	*
3:23961416	  771.0	  145.2	    5.3	    3.8	 100.41	 102.82	 999.00	  -0.26	   0.00	--------	-1	0.00	*
1:228286066	  707.0	  352.5	    2.0	    2.0	  26.49	  27.46	 999.00	  -0.36	   0.00	--------	-1	0.00	*
5:154194800	  684.0	  145.2	    4.7	    1.6	  81.41	  83.53	 999.00	  -0.23	   0.00	--------	-1	0.00	*
3:142775578	  681.5	  195.0	    3.5	   15.9	  61.78	  63.53	 999.00	  -0.27	   0.00	--------	-1	0.00	*
22:32353031	  654.4	  269.6	    2.4	    0.9	  35.98	  37.19	 999.00	  -0.38	   0.00	--------	-1	0.00	*
4:166264011	  643.0	   41.5	   15.5	    1.9	 135.88	 138.78	 999.00	  -0.30	   0.00	--------	-1	0.00	*
7:56131440	  616.7	  124.4	    5.0	    0.5	  76.52	  78.55	 999.00	  -0.25	   0.00	--------	-1	0.00	*
18:29710546	  613.0	   82.9	    7.4	    8.6	  97.96	 100.33	 999.00	  -0.30	   0.00	--------	-1	0.00	*
9:33039068	  581.8	  284.4	    2.0	    0.4	  22.93	  23.80	 999.00	  -0.39	   0.00	--------	-1	0.00	*
1:32662446	  560.8	  265.8	    2.1	    0.8	  23.72	  24.61	 999.00	  -0.36	   0.00	--------	-1	0.00	*
12:57057600	  550.1	  380.3	    1.4	    5.2	   7.48	   7.85	 999.00	  -0.53	   0.00	--------	-1	0.00	*
5:179156216	  535.0	  238.5	    2.2	    0.5	  25.53	  26.47	 999.00	  -0.46	   0.00	--------	-1	0.00	*
17:56081827	  502.0	   41.5	   12.1	  314.8	  21.37	 100.68	  22.19	  -0.27	   0.00	--------	-1	0.00	*
7:155100644	  499.5	  311.1	    1.6	    1.2	  10.21	  10.66	 999.00	  -0.38	   0.00	--------	-1	0.00	*
13:100638550	  489.2	    0.0	 9999.9	    0.3	 144.46	 147.50	 999.00	  -0.29	   0.00	--------	-1	0.00	*
14:54894260	  485.9	   82.9	    5.9	    0.5	  67.98	  69.86	 999.00	  -0.27	   0.00	--------	-1	0.00	*
5:179156848	  485.6	  265.7	    1.8	    0.5	  14.75	  15.36	 999.00	  -0.54	   0.00	--------	-1	0.00	*
8:37556579	  485.0	   41.5	   11.7	    1.1	  93.86	  96.16	 999.00	  -0.28	   0.00	--------	-1	0.00	*
1:91382045	  478.0	    0.0	 9999.9	    5.2	 140.91	 143.89	 999.00	  -0.30	   0.00	--------	-1	0.00	*
8:117859517	  458.4	  266.8	    1.7	    0.4	  11.79	  12.30	 999.00	  -0.53	   0.00	--------	-1	0.00	*
10:102121297	  457.0	  186.6	    2.4	   10.3	  25.65	  26.59	 999.00	  -0.27	   0.00	--------	-1	0.00	*
14:103809203	  457.0	   20.7	   22.0	    3.8	 105.06	 107.51	 999.00	  -0.27	   0.00	--------	-1	0.00	*
7:75958657	  453.8	  222.3	    2.0	    0.5	  17.95	  18.66	 999.00	  -0.39	   0.00	--------	-1	0.00	*
3:113439473	  444.8	  105.2	    4.2	    3.6	  48.45	  49.94	 999.00	  -0.30	   0.00	--------	-1	0.00	*
11:9467036	  436.7	  248.8	    1.8	    0.5	  11.95	  12.47	 999.00	  -0.50	   0.00	--------	-1	0.00	*
1:111983621	  432.8	  177.7	    2.4	    1.8	  24.15	  25.05	 999.00	  -0.35	   0.00	--------	-1	0.00	*
17:56081268	  420.7	  232.6	    1.8	  336.2	   5.06	  13.05	   5.33	  -0.46	   0.00	--------	-1	0.00	*
3:23962105	  417.0	  186.6	    2.2	    3.8	  19.93	  20.71	 999.00	  -0.36	   0.00	--------	-1	0.00	*
17:56081047	  408.3	  306.6	    1.3	  351.5	   2.66	   4.11	   2.83	  -0.52	   0.00	--------	-1	0.00	*
17:39847472	  401.8	  279.8	    1.4	    5.6	   5.48	   5.77	 999.00	  -0.57	   0.29	--------	-1	0.00	*
1:156712477	  386.5	  282.6	    1.4	   22.4	   4.24	   4.47	 322.53	  -0.42	   0.00	--------	-1	0.00	*
3:48198768	  376.2	  165.9	    2.3	   12.0	  18.73	  19.46	 999.00	  -0.42	   0.56	--------	-1	0.00	*
4:103718064	  371.0	  254.1	    1.5	    9.1	   5.41	   5.69	 999.00	  -0.35	   0.00	--------	-1	0.00	*
5:180003256	  360.0	   58.5	    6.2	    0.5	  51.78	  53.35	 999.00	  -0.28	   0.00	--------	-1	0.00	*
17:4848990	  355.0	  228.1	    1.6	    1.1	   6.65	   6.98	 999.00	  -0.55	   0.00	--------	-1	0.00	*
8:98738220	  354.7	  226.2	    1.6	   37.1	   6.87	   7.20	 211.85	  -0.35	   0.00	--------	-1	0.00	*
1:62916845	  352.2	  145.2	    2.4	    6.3	  19.64	  20.40	 999.00	  -0.43	   0.00	--------	-1	0.00	*
22:30730263	  348.2	  186.6	    1.9	    5.2	  11.42	  11.91	 999.00	  -0.37	   0.00	--------	-1	0.00	*
17:45760132	  348.0	  228.1	    1.5	    1.1	   6.07	   6.38	 999.00	  -0.26	   0.00	--------	-1	0.00	*
1:115259659	  347.3	  146.0	    2.4	    6.5	  18.68	  19.42	 999.00	  -0.36	   0.00	--------	-1	0.00	*
19:14626638	  347.1	  166.7	    2.1	    1.1	  14.65	  15.26	 999.00	  -0.43	   0.00	--------	-1	0.00	*
